풍향(16방위),봄,여름,가을,겨울
0.0,79,163,130,77
20.0,381,310,1083,1040
50.0,175,139,420,218
70.0,45,58,211,53
90.0,120,214,372,143
110.0,97,211,248,148
140.0,170,263,306,198
160.0,256,248,374,377
180.0,355,320,240,336
200.0,527,452,125,224
230.0,961,771,106,233
250.0,972,979,199,216
270.0,683,890,317,228
290.0,309,325,274,230
320.0,310,241,315,366
340.0,774,728,893,1423
360.0,410,311,938,994
