일시,강수량(mm),비가 내린 시간
2015-04-14 20:00,0.4,14
2015-04-20 06:00,0.4,21
2015-06-26 09:00,0.2,15
2015-07-12 20:00,0.3,21
2015-07-13 12:00,0.1,15
2015-07-24 16:00,0.3,20
2016-04-17 06:00,0.1,15
2016-05-03 11:00,0.7,17
2016-05-16 02:00,0.2,13
2016-07-02 00:00,0.1,13
2016-07-05 12:00,0.9,23
2017-04-06 05:00,0.1,17
2017-06-07 12:00,0.1,17
2017-07-11 02:00,1.9,16
2017-08-15 20:00,0.5,13
2017-08-20 14:00,0.3,15
